Category,Sub.Category,Total_Sales,Total_Profit,Avg_Discount,Total_Quantity
Furniture,Bookcases,1466559,161924.4195,0.1537577768560763,8310
Furniture,Chairs,1501682,140396.2675,0.1631100757134537,12336
Furniture,Furnishings,385609,46967.4255,0.15106624605678234,11225
Furniture,Tables,757034,-64083.3887,0.29073170731707315,3083
Office Supplies,Appliances,1011081,141680.5894,0.14170940170940172,6078
Office Supplies,Art,372163,57953.9109,0.11736227728855213,16301
Office Supplies,Binders,461952,72449.846,0.17920676202860858,21429
Office Supplies,Envelopes,170926,29601.1163,0.13174948665297742,8380
Office Supplies,Fasteners,83254,11525.4241,0.14059504132231404,8390
Office Supplies,Labels,73433,15010.512,0.12044896392939371,9322
Office Supplies,Paper,244307,59207.6827,0.10946862634256642,12822
Office Supplies,Storage,1127124,108461.4898,0.1384641233445345,16917
Office Supplies,Supplies,243090,22583.2631,0.12791752577319587,8543
Technology,Accessories,749307,129626.3062,0.12048130081300813,10946
Technology,Copiers,1509439,258567.54818,0.11714709851551958,7454
Technology,Machines,779071,58867.873,0.1695827725437416,4906
Technology,Phones,1706874,216717.00579999998,0.14584748287161156,11870
