Market,Region,Total_Sales,Total_Profit,Total_Orders
APAC,Central Asia,752839,132480.187,1026
APAC,North Asia,848349,165578.421,1150
APAC,Oceania,1100207,120089.112,1744
APAC,Southeast Asia,884438,17852.328999999998,1517
Africa,Africa,783776,88871.631,2232
Canada,Canada,66932,17817.39,201
EMEA,EMEA,806184,43897.971,2462
EU,Central,1720582,215534.0685,2576
EU,North,625572,91779.855,1027
EU,South,591985,65515.818,995
LATAM,Caribbean,324281,34571.32104,855
LATAM,Central,600561,56163.55064,1504
LATAM,North,622620,102818.09752,1329
LATAM,South,617225,28090.51788,1456
US,Central,501256,39706.3625,1175
US,East,678834,91522.78,1401
US,South,391750,46749.4303,822
US,West,725514,108418.4489,1611
