Year,Month,Month_Name,Total_Sales,Total_Profit,Total_Orders
2011,1,January,98902,8321.80096,216
2011,2,February,91152,12417.90698,183
2011,3,March,145726,15303.56826,277
2011,4,April,116927,12902.32438,267
2011,5,May,146762,12183.8287,295
2011,6,June,215214,23415.24702,468
2011,7,July,115518,5585.00352,250
2011,8,August,207570,23713.66772,443
2011,9,September,290230,35776.88394,527
2011,10,October,199070,25963.41834,401
2011,11,November,298499,32709.17772,563
2011,12,December,333941,40647.984000000004,620
2012,1,January,135775,10401.63764,260
2012,2,February,100521,15000.09618,230
2012,3,March,163092,17992.917559999998,337
2012,4,April,161060,17366.96722,322
2012,5,May,208370,29876.70374,413
2012,6,June,256181,34407.15362,571
2012,7,July,145247,15585.38842,324
2012,8,August,303158,43573.87858,522
2012,9,September,289390,27776.18034,641
2012,10,October,252942,30662.882700000002,499
2012,11,November,323512,31820.7218,716
2012,12,December,338245,32950.7513,628
2013,1,January,199197,26810.55968,345
2013,2,February,167247,23762.4961,306
2013,3,March,198591,23433.77462,411
2013,4,April,177835,19462.03844,394
2013,5,May,260525,28495.6941,522
2013,6,June,396513,45478.4134,724
2013,7,July,229940,28863.8272,447
2013,8,August,326491,31023.66846,692
2013,9,September,376626,38905.667779999996,836
2013,10,October,293423,42433.22258,580
2013,11,November,373996,48062.9967,789
2013,12,December,405476,50202.871119999996,825
2014,1,January,241267,28001.38626,450
2014,2,February,184848,19751.69996,385
2014,3,March,263110,37357.26052,530
2014,4,April,242781,23782.3012,523
2014,5,May,288404,33953.557740000004,667
2014,6,June,401843,43778.6028,899
2014,7,July,258718,28035.87258,540
2014,8,August,456633,53542.89496,843
2014,9,September,481186,67979.4511,1017
2014,10,October,422785,58209.83476,810
2014,11,November,555312,62856.5879,1077
2014,12,December,503154,46916.52068,1093
